staff_id,name,role,department,hire_date,active
S0060,Titin Habibi,Admin,Poli Anak,2024-03-08,True
S0061,Prabawa Rajasa,Security,ICU,2020-09-15,True
S0062,"Najib Wahyudin, S.Psi",Petugas Lab,Radiologi,2020-11-17,True
S0063,"Harjaya Wahyuni, S.Ked",Security,Poli Gigi,2024-07-13,True
S0064,Latika Wijayanti,Perawat,NICU,2020-08-15,True
S0065,dr. Saiful Prastuti,Perawat,IGD,2018-08-17,False
S0066,Febi Zulkarnain,Petugas Lab,Operasi,2025-04-14,True
S0067,Ghaliyati Andriani,Admin,NICU,2019-06-29,True
S0068,"Zamira Gunawan, S.IP",Admin,NICU,2020-04-10,True
S0069,"Dr. Dinda Haryanti, M.TI.",Dokter,NICU,2017-02-01,False
S0070,"KH. Bahuwirya Prasetyo, S.IP",Perawat,Laboratorium,2021-08-19,True
S0071,Nyoman Wijayanti,Petugas Lab,NICU,2023-08-25,False
S0072,Dr. Dadap Sinaga,Petugas Lab,Radiologi,2018-06-12,True
S0073,Ajiman Hutasoit,Farmasis,Farmasi,2021-07-03,True
S0074,"R. Dian Jailani, S.Kom",Perawat,Poli Gigi,2020-01-16,True
S0075,Ira Narpati,Dokter,Poli Umum,2019-11-23,True
S0076,T. Caket Farida,Farmasis,Farmasi,2025-04-18,True
S0077,Damar Habibi,Perawat,Keuangan,2020-09-02,True
S0078,"KH. Setya Adriansyah, S.E.I",Perawat,Poli Umum,2016-12-22,True
S0079,Silvia Palastri,Perawat,IGD,2020-08-07,True
S0080,R. Genta Tamba,Kasir,Keuangan,2018-03-29,True
S0081,Elvina Puspasari,Farmasis,Operasi,2021-07-18,True
S0082,Oliva Damanik,Dokter,Laboratorium,2017-07-15,True
S0083,"Ir. Ajimin Suryatmi, S.Pd",Perawat,Laboratorium,2019-07-30,True
S0084,R.A. Yessi Nurdiyanti,Perawat,Operasi,2018-01-19,True
S0085,"Zamira Saputra, S.IP",Kasir,Laboratorium,2019-04-19,True
S0086,"drg. Anita Prasetyo, S.Pt",Perawat,Laboratorium,2023-09-08,False
S0087,Iriana Suartini,Farmasis,IGD,2016-10-30,False
S0088,Hani Hakim,Security,ICU,2025-06-25,True
S0089,Ir. Puput Kurniawan,Perawat,Poli Umum,2024-08-19,True
S0090,Sutan Nasrullah Hidayat,Petugas Lab,Operasi,2023-11-14,True
S0091,Padmi Yolanda,Admin,Farmasi,2019-03-26,True
S0092,Ciaobella Nashiruddin,Perawat,Laboratorium,2017-05-13,True
S0093,"Eli Budiman, M.Ak",Perawat,Poli Gigi,2022-09-03,True
S0094,"Raharja Budiyanto, S.Pt",Perawat,Farmasi,2016-03-18,True
S0095,Putri Prakasa,Farmasis,Poli Gigi,2023-01-31,True
S0096,"dr. Wulan Prasetyo, S.I.Kom",Perawat,NICU,2019-10-12,True
S0097,Jarwa Mandala,Dokter,Keuangan,2025-06-22,True
S0098,Dr. Jindra Purwanti,Admin,IGD,2022-07-09,True
S0099,Zelaya Sitorus,Dokter,Poli Umum,2016-01-08,False
S0100,Farhunnisa Kusumo,Perawat,Poli Umum,2018-10-16,True
S0101,Gandi Kurniawan,Dokter,Farmasi,2023-09-21,False
S0102,"Praba Sihombing, M.Pd",Perawat,Poli Gigi,2019-03-17,False
S0103,Rama Pratama,Dokter,Operasi,2016-01-15,True
S0104,"R.A. Zamira Samosir, S.E.",Petugas Lab,Radiologi,2018-05-07,True
S0105,R.A. Winda Gunawan,Petugas Lab,Poli Gigi,2019-11-21,True
S0106,Ana Marpaung,Perawat,Laboratorium,2020-10-02,False
S0107,"Wakiman Kusmawati, S.Kom",Dokter,Poli Gigi,2018-09-02,True
S0108,Zalindra Pertiwi,Dokter,NICU,2021-01-29,True
S0109,Samiah Januar,Petugas Lab,ICU,2017-11-20,True
S0110,Cemplunk Habibi,Security,Poli Umum,2020-09-03,False
S0111,"dr. Bakidin Wahyudin, M.TI.",Perawat,Poli Gigi,2016-12-04,False
S0112,Johan Rajata,Perawat,Poli Anak,2025-04-10,False
S0113,Ir. Atma Narpati,Perawat,Poli Umum,2024-01-05,False
S0114,Adhiarja Rahayu,Perawat,IGD,2021-10-28,True
S0115,"Candrakanta Megantara, S.IP",Perawat,NICU,2022-12-25,True
S0116,Mila Tarihoran,Petugas Lab,IGD,2023-01-15,True
S0117,"Drs. Cakrabuana Wacana, S.Kom",Petugas Lab,Farmasi,2017-05-28,False
S0118,"Hj. Rika Mayasari, M.Ak",Petugas Lab,NICU,2018-08-09,False
S0119,Cagak Saptono,Dokter,IGD,2022-06-04,True
S0120,drg. Pangeran Nasyiah,Dokter,Poli Gigi,2024-07-08,False
S0121,Mursita Firmansyah,Perawat,IGD,2020-05-14,True
S0122,Septi Farida,Petugas Lab,Radiologi,2017-07-26,False
S0123,"Lulut Riyanti, S.Ked",Kasir,NICU,2024-08-07,True
S0124,Tgk. Warsa Halim,Admin,IGD,2022-10-13,True
S0125,Rudi Manullang,Perawat,NICU,2023-10-26,False
S0126,Gaman Hastuti,Perawat,NICU,2024-05-25,True
S0127,Saadat Mulyani,Petugas Lab,Radiologi,2016-08-01,True
S0128,"drg. Kamaria Purnawati, S.Ked",Dokter,Keuangan,2019-05-08,True
S0129,Hj. Ayu Saptono,Perawat,Operasi,2016-08-18,True
S0130,Dt. Bagas Uyainah,Dokter,NICU,2017-09-30,True
S0131,Martana Nashiruddin,Farmasis,Poli Umum,2017-04-09,True
S0132,Karta Nainggolan,Kasir,Operasi,2019-02-03,False
S0133,Ifa Laksita,Perawat,Poli Umum,2019-12-12,True
S0134,Dr. Hana Rajasa,Petugas Lab,Laboratorium,2020-10-22,True
S0135,"Pranata Gunarto, S.E.",Perawat,Radiologi,2020-06-15,True
S0136,"Anggabaya Wibisono, S.Gz",Admin,Laboratorium,2023-02-26,True
S0137,Almira Maulana,Security,NICU,2021-06-14,True
S0138,Tgk. Hendri Kuswoyo,Dokter,IGD,2021-05-06,True
S0139,Gina Tarihoran,Admin,IGD,2023-10-27,False
S0140,Eka Fujiati,Perawat,NICU,2024-10-10,False
S0141,Prabawa Mandala,Farmasis,Farmasi,2016-07-30,False
S0142,Danang Permadi,Dokter,Poli Anak,2022-12-02,True
S0143,Halima Agustina,Perawat,Farmasi,2021-03-18,True
S0144,Sabar Suryatmi,Kasir,Keuangan,2023-06-03,True
S0145,"Bagas Ardianto, S.IP",Admin,Radiologi,2025-10-14,True
S0146,"R.A. Rini Nasyiah, S.E.I",Admin,Laboratorium,2021-03-04,True
S0147,"Karya Nashiruddin, M.M.",Perawat,Poli Anak,2021-05-02,True
S0148,Slamet Tampubolon,Perawat,Poli Anak,2021-05-28,True
S0149,Bagas Utami,Farmasis,Farmasi,2023-03-05,True
S0150,Bella Nasyiah,Perawat,Poli Gigi,2018-04-21,True
S0151,Usyi Putra,Perawat,IGD,2016-10-29,True
S0152,Rudi Siregar,Kasir,Farmasi,2020-04-19,True
S0153,Prakosa Hutasoit,Perawat,Poli Gigi,2021-04-30,True
S0154,R.M. Omar Napitupulu,Farmasis,Operasi,2024-01-12,True
S0155,Zelaya Yuniar,Perawat,IGD,2022-08-04,False
S0156,Maryanto Yulianti,Kasir,Operasi,2017-09-24,False
S0157,"R.A. Ina Tamba, S.Farm",Dokter,Poli Gigi,2019-06-27,True
S0158,R.A. Hesti Gunarto,Kasir,ICU,2021-04-22,True
S0159,Gasti Astuti,Petugas Lab,NICU,2020-01-04,True
S0160,Kayla Tarihoran,Perawat,ICU,2017-08-11,True
S0161,Kani Usamah,Dokter,Operasi,2018-11-29,True
S0162,"Ir. Shania Sitorus, M.Pd",Dokter,IGD,2018-09-11,True
S0163,R. Genta Winarno,Perawat,Operasi,2021-10-07,True
S0164,Drs. Panca Wibisono,Perawat,Poli Anak,2022-08-02,True
S0165,R.M. Warta Tarihoran,Admin,Keuangan,2016-11-22,True
S0166,Tasdik Mardhiyah,Perawat,Keuangan,2020-04-21,True
S0167,Shakila Rahmawati,Dokter,ICU,2020-02-08,True
S0168,Ika Puspasari,Dokter,Radiologi,2021-07-30,True
S0169,Galih Suryono,Kasir,ICU,2017-06-17,True
S0170,Paiman Rajasa,Dokter,Radiologi,2023-06-26,False
S0171,Wardi Pranowo,Farmasis,Radiologi,2023-11-29,True
S0172,"Cut Widya Waskita, M.Pd",Perawat,Poli Umum,2025-07-09,True
S0173,Parman Winarno,Admin,IGD,2017-07-17,True
S0174,Liman Setiawan,Kasir,ICU,2024-06-02,False
S0175,"Rina Laksita, S.Gz",Dokter,Radiologi,2019-05-26,True
S0176,Genta Budiman,Perawat,Keuangan,2022-04-30,True
S0177,Cut Sari Nababan,Perawat,Operasi,2018-01-18,True
S0178,Maras Namaga,Perawat,Poli Umum,2024-10-09,False
S0179,dr. Jaswadi Farida,Perawat,Poli Umum,2022-05-31,False
S0180,Dacin Astuti,Farmasis,ICU,2016-06-17,False
S0181,"dr. Anastasia Lestari, S.T.",Perawat,Radiologi,2017-06-25,False
S0182,Maya Rahimah,Admin,Farmasi,2024-07-13,True
S0183,Cahyo Widiastuti,Security,ICU,2019-07-09,True
S0184,Sabrina Hutapea,Petugas Lab,Laboratorium,2021-06-06,True
S0185,Ivan Mansur,Admin,Poli Gigi,2020-09-23,False
S0186,"Gabriella Simanjuntak, S.T.",Petugas Lab,Poli Gigi,2020-01-15,True
S0187,H. Elvin Ramadan,Perawat,Keuangan,2022-02-16,False
S0188,Cawuk Widiastuti,Kasir,Laboratorium,2018-11-11,True
S0189,"Wakiman Siregar, S.Pd",Petugas Lab,NICU,2017-07-11,True
S0190,T. Ozy Nainggolan,Perawat,Radiologi,2019-08-23,False
S0191,"dr. Wani Lazuardi, M.TI.",Farmasis,Operasi,2022-04-11,False
S0192,Kayun Irawan,Perawat,Keuangan,2022-12-12,False
S0193,Kania Gunarto,Perawat,Radiologi,2018-04-15,True
S0194,Tgk. Cemani Namaga,Perawat,Poli Umum,2024-08-24,True
S0195,"Ir. Aurora Yulianti, S.H.",Dokter,ICU,2025-07-06,True
S0196,drg. Maida Mardhiyah,Perawat,Operasi,2020-09-02,True
S0197,Argono Uyainah,Farmasis,Poli Umum,2019-12-30,False
S0198,Tari Waskita,Perawat,Keuangan,2017-03-30,True
S0199,Edison Tampubolon,Petugas Lab,Poli Anak,2017-08-02,True
S0200,Jessica Adriansyah,Petugas Lab,Keuangan,2016-12-31,True
S0201,Ir. Ulva Budiman,Admin,Poli Anak,2018-11-28,False
S0202,Kajen Maheswara,Admin,NICU,2022-02-09,True
S0203,"Lasmanto Lazuardi, S.Pd",Dokter,NICU,2025-03-26,True
S0204,Drs. Fitria Sitompul,Dokter,ICU,2019-01-14,True
S0205,Ami Maulana,Perawat,NICU,2022-05-12,True
S0206,Cemeti Usamah,Perawat,Operasi,2021-01-13,False
S0207,"Tirta Hidayat, M.Kom.",Petugas Lab,Poli Umum,2018-04-27,True
S0208,Septi Prabowo,Security,Poli Gigi,2025-09-19,False
S0209,Maida Mardhiyah,Perawat,Poli Umum,2018-04-14,True
S0210,Wulan Firmansyah,Petugas Lab,Poli Umum,2020-07-10,True
S0211,Candrakanta Setiawan,Kasir,Poli Gigi,2021-01-17,True
S0212,Gamani Prabowo,Admin,Keuangan,2025-09-19,False
S0213,Kasusra Nasyidah,Perawat,Keuangan,2021-10-29,True
S0214,"Dwi Purwanti, S.Kom",Perawat,NICU,2019-03-03,True
S0215,Lasmanto Saptono,Perawat,Operasi,2025-06-05,False
S0216,"Najwa Marbun, S.IP",Dokter,IGD,2017-05-25,True
S0217,"R. Balidin Damanik, M.Farm",Farmasis,Operasi,2022-11-12,True
S0218,Mujur Pudjiastuti,Perawat,Farmasi,2022-12-09,False
S0219,"Baktiadi Nugroho, S.I.Kom",Kasir,IGD,2018-10-26,False
S0220,Lasmono Wijayanti,Petugas Lab,Farmasi,2023-06-10,False
S0221,Langgeng Rajasa,Perawat,Poli Anak,2024-05-03,False
S0222,Patricia Saptono,Security,ICU,2019-06-10,True
S0223,"dr. Kania Prasetyo, S.Ked",Kasir,NICU,2017-11-21,True
S0224,Kiandra Agustina,Perawat,IGD,2019-12-04,True
S0225,Safina Ardianto,Perawat,NICU,2019-08-23,True
S0226,"Maida Kuswandari, S.T.",Admin,IGD,2024-06-07,False
S0227,"Puti Clara Novitasari, S.Pd",Perawat,Radiologi,2021-06-23,True
S0228,Candra Tampubolon,Perawat,Keuangan,2017-03-25,False
S0229,"Garan Hidayat, M.M.",Perawat,Poli Anak,2021-08-30,True
S0230,"Vanya Rajata, S.E.",Farmasis,ICU,2024-05-19,False
S0231,Tira Wahyuni,Admin,Poli Umum,2017-02-17,False
S0232,"Akarsana Ramadan, S.Ked",Security,NICU,2020-06-25,True
S0233,Cengkal Sitorus,Admin,Keuangan,2024-10-21,False
S0234,"Janet Wijayanti, M.M.",Security,Keuangan,2021-11-02,True
S0235,Margana Hartati,Security,Radiologi,2024-12-15,True
S0236,Rusman Yuliarti,Dokter,Poli Umum,2023-05-05,True
S0237,"Among Yuliarti, S.I.Kom",Dokter,Poli Umum,2018-12-21,True
S0238,"Kunthara Kurniawan, S.Pd",Perawat,Farmasi,2018-10-22,True
S0239,Luluh Oktaviani,Perawat,Keuangan,2020-05-02,True
S0240,"Putri Marpaung, S.E.I",Petugas Lab,Poli Gigi,2020-04-10,True
S0241,"Garan Yuliarti, S.Pt",Perawat,Laboratorium,2023-11-25,True
S0242,"Tgk. Iriana Firgantoro, S.I.Kom",Perawat,Farmasi,2021-05-07,False
S0243,Eli Hariyah,Perawat,NICU,2025-05-16,True
S0244,H. Prima Nashiruddin,Perawat,Poli Gigi,2021-04-07,True
S0245,Puti Oliva Budiyanto,Dokter,Radiologi,2021-12-06,True
S0246,"drg. Sadina Nashiruddin, S.Psi",Dokter,IGD,2021-09-28,True
S0247,Cut Jasmin Hutapea,Perawat,Poli Umum,2020-06-08,True
S0248,Okta Natsir,Perawat,Poli Anak,2018-11-29,True
S0249,Cornelia Wahyudin,Dokter,Keuangan,2018-11-05,False
S0250,Mutia Salahudin,Perawat,Poli Umum,2025-07-14,True
S0251,Emil Maryati,Farmasis,Keuangan,2020-10-22,True
S0252,Ir. Qori Kurniawan,Petugas Lab,Operasi,2023-06-08,False
S0253,"Kalim Mangunsong, S.H.",Dokter,Poli Anak,2021-09-10,True
S0254,"Dt. Agus Nasyidah, M.M.",Dokter,Poli Umum,2019-04-22,True
S0255,Pia Novitasari,Perawat,IGD,2017-01-27,True
S0256,Margana Adriansyah,Dokter,Poli Gigi,2023-09-20,False
S0257,Cagak Hutasoit,Perawat,ICU,2019-07-29,True
S0258,Jefri Andriani,Dokter,Radiologi,2025-03-01,True
S0259,Najib Rajata,Farmasis,Poli Umum,2017-06-17,True
S0260,Salsabila Tarihoran,Perawat,Farmasi,2024-08-29,False
S0261,"Kemal Puspasari, S.IP",Admin,Keuangan,2025-04-02,True
S0262,Mariadi Astuti,Perawat,IGD,2023-05-25,True
S0263,"Edison Firgantoro, S.Sos",Farmasis,Farmasi,2016-06-28,True
S0264,Queen Situmorang,Perawat,NICU,2023-06-16,True
S0265,Fitriani Permata,Perawat,Poli Gigi,2022-02-01,True
S0266,Drs. Gading Pradipta,Admin,Farmasi,2017-09-10,True
S0267,"Perkasa Zulaika, M.Pd",Perawat,ICU,2022-05-09,True
S0268,Umi Manullang,Kasir,Poli Anak,2021-03-23,True
S0269,"Yunita Pangestu, S.H.",Petugas Lab,Farmasi,2016-02-18,False
S0270,"Indah Padmasari, M.Pd",Dokter,Poli Umum,2024-09-08,False
S0271,"Mila Dongoran, M.Farm",Admin,ICU,2021-10-15,True
S0272,Pangestu Hutapea,Admin,Poli Anak,2017-11-22,True
S0273,Cici Wibowo,Perawat,Poli Anak,2021-09-05,True
S0274,Paulin Thamrin,Perawat,Keuangan,2019-04-08,True
S0275,Cahyanto Anggraini,Perawat,Operasi,2022-01-26,True
S0276,Galak Haryanti,Admin,Poli Gigi,2016-03-31,True
S0277,Jumari Simanjuntak,Perawat,ICU,2025-09-01,True
S0278,Jaiman Santoso,Perawat,Poli Anak,2021-04-30,False
S0279,Eja Jailani,Perawat,Radiologi,2021-03-18,True
S0280,Cayadi Wulandari,Farmasis,NICU,2024-07-03,False
S0281,Wawan Adriansyah,Dokter,ICU,2025-08-09,True
S0282,"Ir. Clara Astuti, S.Gz",Admin,Poli Anak,2017-12-08,True
S0283,Perkasa Namaga,Petugas Lab,Keuangan,2023-09-18,True
S0284,"Artawan Sudiati, S.I.Kom",Farmasis,Keuangan,2023-12-13,True
S0285,Tgk. Dimas Purnawati,Admin,IGD,2016-06-03,True
S0286,Yunita Hastuti,Dokter,Operasi,2017-08-16,True
S0287,Cici Nasyidah,Perawat,IGD,2022-09-04,False
S0288,"Devi Mandala, M.Kom.",Perawat,Farmasi,2019-11-26,False
S0289,"R.M. Aswani Ramadan, S.Ked",Petugas Lab,Poli Anak,2018-05-26,False
S0290,Aswani Firgantoro,Dokter,IGD,2022-10-19,True
S0291,"Rini Riyanti, S.T.",Perawat,Poli Gigi,2023-02-24,True
S0292,Darimin Winarsih,Dokter,Poli Anak,2021-11-09,False
S0293,dr. Tirta Sihombing,Farmasis,Radiologi,2016-12-01,True
S0294,Harjo Maheswara,Kasir,ICU,2024-07-24,True
S0295,Jinawi Suwarno,Perawat,Poli Gigi,2022-01-30,False
S0296,R.A. Rahmi Tampubolon,Perawat,IGD,2018-01-29,True
S0297,Rini Pradipta,Perawat,Farmasi,2023-12-16,False
S0298,Galar Sihombing,Farmasis,ICU,2020-12-25,True
S0299,"Mumpuni Andriani, S.Gz",Admin,Laboratorium,2018-02-22,True
S0300,"Sakti Purnawati, S.IP",Perawat,Poli Gigi,2016-06-07,True
S0301,"Cornelia Kusumo, S.Sos",Dokter,Laboratorium,2020-01-25,True
S0302,Muni Irawan,Perawat,Poli Gigi,2019-10-28,False
S0303,Jessica Saragih,Perawat,Farmasi,2021-03-21,True
S0304,Jessica Usada,Dokter,Keuangan,2025-05-10,True
S0305,Tirtayasa Wijaya,Perawat,NICU,2024-04-05,False
S0306,"Pangeran Kusumo, S.Gz",Admin,Keuangan,2021-05-16,False
S0307,H. Galih Mulyani,Perawat,Keuangan,2018-08-12,True
S0308,"Sutan Panji Lailasari, S.Kom",Security,Radiologi,2021-04-12,True
S0309,R. Vicky Waluyo,Farmasis,Laboratorium,2019-09-09,True
S0310,Ayu Nurdiyanti,Admin,Keuangan,2023-10-10,True
S0311,Labuh Firgantoro,Petugas Lab,Radiologi,2022-06-21,True
S0312,Lalita Rajata,Perawat,Poli Anak,2018-07-04,True
S0313,"Wani Suryono, M.Kom.",Admin,ICU,2023-06-05,True
S0314,"Drs. Rafid Uwais, S.I.Kom",Farmasis,Operasi,2020-04-01,False
S0315,"Hj. Violet Wibisono, S.Farm",Admin,Radiologi,2019-02-28,True
S0316,"drg. Perkasa Sirait, S.Kom",Admin,Poli Gigi,2022-06-12,True
S0317,Winda Marpaung,Perawat,Radiologi,2019-02-24,False
S0318,Farhunnisa Kuswandari,Kasir,Radiologi,2025-11-04,True
S0319,KH. Maryadi Agustina,Perawat,NICU,2019-02-14,True
S0320,"Ir. Betania Hariyah, S.Gz",Perawat,Farmasi,2024-02-04,True
S0321,Ifa Hastuti,Admin,NICU,2018-10-05,True
S0322,Uchita Hasanah,Dokter,ICU,2021-03-13,True
S0323,Balidin Laksmiwati,Petugas Lab,Poli Gigi,2021-09-06,True
S0324,Sutan Eka Kusmawati,Farmasis,Radiologi,2025-05-05,True
S0325,"Liman Puspasari, S.Farm",Dokter,IGD,2024-01-13,True
S0326,Ratna Mandasari,Security,Laboratorium,2024-03-03,True
S0327,Titin Lazuardi,Admin,Poli Gigi,2022-02-01,True
S0328,Harja Wibowo,Kasir,Keuangan,2017-11-20,True
S0329,Jais Setiawan,Security,Keuangan,2024-08-17,False
S0330,Oni Maryati,Petugas Lab,Operasi,2020-06-22,True
S0331,"Restu Hutasoit, S.Ked",Farmasis,Poli Gigi,2022-12-14,True
S0332,"Sutan Vinsen Widiastuti, M.Ak",Dokter,IGD,2022-04-21,False
S0333,Soleh Situmorang,Perawat,IGD,2023-05-02,True
S0334,Usyi Utami,Perawat,Keuangan,2019-06-20,True
S0335,drg. Novi Nuraini,Farmasis,Operasi,2019-10-26,True
S0336,Manah Gunawan,Dokter,Radiologi,2023-03-31,True
S0337,"drg. Janet Marbun, M.M.",Dokter,NICU,2020-09-07,True
S0338,Ophelia Marbun,Admin,Poli Gigi,2024-02-12,True
S0339,Iriana Mandasari,Kasir,Farmasi,2017-09-27,True
S0340,Silvia Laksmiwati,Perawat,Laboratorium,2022-11-24,True
S0341,Lanjar Yulianti,Kasir,ICU,2019-06-19,False
S0342,Asmuni Lazuardi,Farmasis,NICU,2021-02-27,True
S0343,dr. Koko Yuniar,Perawat,IGD,2021-12-17,True
S0344,Rahmi Maulana,Perawat,Keuangan,2024-01-10,True
S0345,"Calista Agustina, M.Farm",Kasir,Farmasi,2024-06-25,True
S0346,Tira Pranowo,Dokter,Laboratorium,2017-01-12,False
S0347,Vera Jailani,Perawat,Farmasi,2020-07-21,True
S0348,Irwan Nasyiah,Perawat,Poli Umum,2019-04-07,True
S0349,Olivia Wastuti,Perawat,IGD,2018-07-29,True
S0350,Najwa Haryanto,Admin,Farmasi,2016-12-26,True
S0351,"Salsabila Purwanti, S.E.",Perawat,Poli Gigi,2022-11-16,True
S0352,Gina Pratama,Perawat,Laboratorium,2018-03-21,True
S0353,Catur Wijayanti,Kasir,Laboratorium,2024-04-02,False
S0354,R. Nilam Pranowo,Farmasis,Operasi,2022-09-09,True
S0355,Jefri Astuti,Perawat,Poli Umum,2019-10-06,True
S0356,Tiara Napitupulu,Petugas Lab,Operasi,2022-11-19,True
S0357,Rahmi Halimah,Petugas Lab,Poli Gigi,2018-02-15,True
S0358,Hamima Astuti,Security,Poli Umum,2015-12-30,True
S0359,Cecep Iswahyudi,Dokter,IGD,2025-10-03,True
S0360,Opan Prayoga,Perawat,NICU,2025-10-28,False
S0361,"drg. Gangsar Yuliarti, S.H.",Perawat,Keuangan,2017-08-01,True
S0362,Amalia Waskita,Petugas Lab,Poli Gigi,2017-08-20,True
S0363,"Akarsana Napitupulu, S.T.",Kasir,Poli Gigi,2016-12-02,False
S0364,drg. Juli Prakasa,Petugas Lab,Poli Anak,2025-02-04,True
S0365,Dt. Opung Budiyanto,Farmasis,Operasi,2019-10-09,True
S0366,Xanana Saefullah,Farmasis,IGD,2025-01-08,True
S0367,Paulin Salahudin,Perawat,IGD,2020-06-24,True
S0368,Labuh Susanti,Farmasis,Laboratorium,2017-04-17,True
S0369,Chandra Widodo,Kasir,Poli Umum,2016-04-14,False
S0370,"Drs. Putri Winarno, M.TI.",Petugas Lab,Operasi,2020-08-31,True
S0371,"Tgk. Maya Wulandari, S.I.Kom",Admin,NICU,2018-03-25,True
S0372,Paulin Wijaya,Kasir,IGD,2018-12-20,False
S0373,Sutan Usman Widiastuti,Dokter,Radiologi,2016-02-13,True
S0374,Jabal Sirait,Dokter,NICU,2017-12-12,True
S0375,Bakti Marpaung,Perawat,Poli Anak,2020-06-17,True
S0376,"drg. Ajiman Prabowo, S.Sos",Kasir,Farmasi,2016-02-12,True
S0377,Wakiman Sitorus,Farmasis,Laboratorium,2023-04-29,False
S0378,Luhung Ardianto,Farmasis,Radiologi,2018-11-30,True
S0379,"H. Artawan Nurdiyanti, S.Pd",Perawat,Operasi,2024-01-20,True
S0380,Zulfa Rahmawati,Kasir,Poli Anak,2024-07-07,True
S0381,Mahfud Megantara,Perawat,NICU,2023-06-24,True
